,anime_id,name,genre,type,episodes,rating,members,Anime_img_url,Sub_Dub
52,30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,https://img.zorores.com/_r/300x400/100/f4/96/f496473737092845f1731139ad7c5d96/f496473737092845f1731139ad7c5d96.jpg,['SUB']
53,6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,,
54,31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,,
55,4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,,
56,5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,,
57,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,,
58,24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,,
59,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,,
60,10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,,
61,28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,,
62,32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,,
63,21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,,
64,26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,,
65,7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,,
66,777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,https://img.zorores.com/_r/300x400/100/05/d8/05d81a6f6ea447f6ab6e22a11b9cf679/05d81a6f6ea447f6ab6e22a11b9cf679.jpg,"['SUB', 'DUB']"
67,22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,,
68,28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,,
69,12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,,
70,28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,,
71,578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,,
72,16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,,
73,5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,https://img.zorores.com/_r/300x400/100/86/c2/86c263bff8ac2a9e28552af0462411cf/86c263bff8ac2a9e28552af0462411cf.jpg,['SUB']
74,21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,https://img.zorores.com/_r/300x400/100/54/90/5490cb32786d4f7fef0f40d7266df532/5490cb32786d4f7fef0f40d7266df532.jpg,"['SUB', 'DUB']"
75,801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,https://img.zorores.com/_r/300x400/100/6d/a7/6da7e0ae359ff50e394d4984ed694c6a/6da7e0ae359ff50e394d4984ed694c6a.jpg,"['SUB', 'DUB']"
76,31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,,
77,5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,,
78,17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,,
79,170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,https://img.zorores.com/_r/300x400/100/47/f3/47f3c67f8527cd2c57d3c495186a8a3f/47f3c67f8527cd2c57d3c495186a8a3f.jpg,"['SUB', 'DUB']"
80,10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,,
81,18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,https://img.zorores.com/_r/300x400/100/64/d8/64d84547bbdbe69d2e3c73864d90e24d/64d84547bbdbe69d2e3c73864d90e24d.jpg,['SUB']
82,32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,https://img.zorores.com/_r/300x400/100/3f/20/3f20ed9108a583429fd687f986a617e0/3f20ed9108a583429fd687f986a617e0.jpg,"['SUB', 'DUB']"
83,877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,,
84,2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,https://img.zorores.com/_r/300x400/100/79/9e/799e20886574444d86896803ee6a23d3/799e20886574444d86896803ee6a23d3.jpg,"['SUB', 'DUB']"
85,24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,,
86,16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,,
87,10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,,
88,5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,https://img.zorores.com/_r/300x400/100/15/26/15264462d9b3f9f75c1dd895ac3e51d5/15264462d9b3f9f75c1dd895ac3e51d5.jpg,['SUB']
89,30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,,
90,3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,https://img.zorores.com/_r/300x400/100/c6/b8/c6b885ff6dfbc63bdf06af0de8aa5ccf/c6b885ff6dfbc63bdf06af0de8aa5ccf.jpg,"['SUB', 'DUB']"
91,13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,,
92,12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,,
93,14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,https://img.zorores.com/_r/300x400/100/9e/6f/9e6fdd7e5556dc65eae6351d8a8ce98d/9e6fdd7e5556dc65eae6351d8a8ce98d.jpg,['SUB']
94,10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,https://img.zorores.com/_r/300x400/100/37/dd/37ddc93993ea6851f05579f9f49543dc/37ddc93993ea6851f05579f9f49543dc.jpg,"['SUB', 'DUB']"
95,14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,,
96,9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,,
97,10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,,
98,13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,https://img.zorores.com/_r/300x400/100/be/b3/beb3713889a579eb4d3f088ee704c565/beb3713889a579eb4d3f088ee704c565.jpg,"['SUB', 'DUB']"
99,22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,https://img.zorores.com/_r/300x400/100/66/71/66711f8a306cb28e13be3a595883dfe0/66711f8a306cb28e13be3a595883dfe0.jpg,"['SUB', 'DUB']"
100,30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,,
101,18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,https://img.zorores.com/_r/300x400/100/f1/70/f1709f2137aeed22d56195face9a2c10/f1709f2137aeed22d56195face9a2c10.jpg,"['SUB', 'DUB']"
102,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,,
103,11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,https://img.zorores.com/_r/300x400/100/e5/bf/e5bf95f7c88b742c555fdfff49b41e51/e5bf95f7c88b742c555fdfff49b41e51.jpg,['SUB']
104,205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,https://img.zorores.com/_r/300x400/100/9c/e2/9ce2e104272b8200c4fdc9485a2c5ad3/9ce2e104272b8200c4fdc9485a2c5ad3.jpg,"['SUB', 'DUB']"
105,32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,,
106,6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,https://img.zorores.com/_r/300x400/100/b0/4a/b04a0e2d1bd69409e3f2eea50d0530a0/b04a0e2d1bd69409e3f2eea50d0530a0.jpg,['SUB']
107,11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,,
108,7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,https://img.zorores.com/_r/300x400/100/b4/6f/b46fcd86ee7351bde3e22bbd2cd05ec1/b46fcd86ee7351bde3e22bbd2cd05ec1.jpg,['SUB']
109,2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,https://img.zorores.com/_r/300x400/100/92/9c/929ca8f1cb6b62d99a1af76d4aae5054/929ca8f1cb6b62d99a1af76d4aae5054.jpg,['SUB']
110,25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,https://img.zorores.com/_r/300x400/100/49/8c/498ce2330bda5c321f29ea076607e571/498ce2330bda5c321f29ea076607e571.jpg,"['SUB', 'DUB']"
111,2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259,,
112,136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,https://img.zorores.com/_r/300x400/100/45/c5/45c50af44712f05b30c9cbfba6283abb/45c50af44712f05b30c9cbfba6283abb.jpg,['SUB']
113,136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,https://img.zorores.com/_r/300x400/100/99/3c/993c0361975cce4c7fbb11f8558f9664/993c0361975cce4c7fbb11f8558f9664.jpg,"['SUB', 'DUB']"
114,30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,https://img.zorores.com/_r/300x400/100/a4/5f/a45f93b0ea52ce10ca44403afa16659d/a45f93b0ea52ce10ca44403afa16659d.jpg,"['SUB', 'DUB']"
115,12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,,
116,523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,,
117,467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,https://img.zorores.com/_r/300x400/100/b9/b5/b9b5d7aa68642642fc2f1eba2c22a8e9/b9b5d7aa68642642fc2f1eba2c22a8e9.jpg,"['SUB', 'DUB']"
118,572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,,
119,19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,,
120,2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,,
121,392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,,
122,486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822,,
123,11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,,
124,1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,https://img.zorores.com/_r/300x400/100/2a/fb/2afb8857b9717e060556053d6ee406b6/2afb8857b9717e060556053d6ee406b6.jpg,"['SUB', 'DUB']"
125,5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,,
126,25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543,,
127,10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,,
128,28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,https://img.zorores.com/_r/300x400/100/43/fc/43fce28c6cf751bd9fcb71cbcbf5ed0f/43fce28c6cf751bd9fcb71cbcbf5ed0f.jpg,"['SUB', 'DUB']"
129,5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751,,
130,9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,,
131,32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,,
132,4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,https://img.zorores.com/_r/300x400/100/29/a2/29a2eb93554ed3b8ab5d1507ac8f5d77/29a2eb93554ed3b8ab5d1507ac8f5d77.jpg,"['SUB', 'DUB']"
133,2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,,
134,2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,,
135,31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,https://img.zorores.com/_r/300x400/100/f2/56/f25630911145108fd5c2bff98cd737de/f25630911145108fd5c2bff98cd737de.jpg,['SUB']
136,45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,,
137,2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503,,
138,1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462,,
139,22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,https://img.zorores.com/_r/300x400/100/3c/b5/3cb57f25ec05311e25c9ae527e01f8ed/3cb57f25ec05311e25c9ae527e01f8ed.jpg,['SUB']
140,22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,https://img.zorores.com/_r/300x400/100/68/ea/68eab973405a632e06d357b1cbaa910e/68eab973405a632e06d357b1cbaa910e.jpg,"['SUB', 'DUB']"
141,627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,https://img.zorores.com/_r/300x400/100/55/40/55406b5f33974391a68d0e742bb946df/55406b5f33974391a68d0e742bb946df.jpg,['SUB']
142,10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420,,
143,23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,,
144,4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,,
145,4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020,,
146,1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,,
147,137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,,
148,139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787,https://img.zorores.com/_r/300x400/100/d7/f2/d7f2fd7f56b46e8d263b3af9f6a08d77/d7f2fd7f56b46e8d263b3af9f6a08d77.jpg,['SUB']
149,23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261,,
150,558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,https://img.zorores.com/_r/300x400/100/fa/6e/fa6e10423325cdf5ad36ae343d2bafe9/fa6e10423325cdf5ad36ae343d2bafe9.jpg,['SUB']
151,5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,https://img.zorores.com/_r/300x400/100/3f/21/3f21879470d60ca0068fe2ef742a0e67/3f21879470d60ca0068fe2ef742a0e67.jpg,['SUB']
152,57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,,
153,33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,,
154,5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,,
155,1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528,https://img.zorores.com/_r/300x400/100/4d/3a/4d3a2b7d7bd58ad2a0be390b1e53a69d/4d3a2b7d7bd58ad2a0be390b1e53a69d.jpg,['SUB']
156,6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,https://img.zorores.com/_r/300x400/100/3e/8d/3e8d4996b767c52ea708bd0339af0d41/3e8d4996b767c52ea708bd0339af0d41.jpg,"['SUB', 'DUB']"
157,20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302,https://img.zorores.com/_r/300x400/100/ff/00/ff00d3fb7d088392dc147521a9438121/ff00d3fb7d088392dc147521a9438121.jpg,['SUB']
158,1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,,
159,338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188,,
160,13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375,,
161,6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,https://img.zorores.com/_r/300x400/100/d9/43/d9432a1c947b1fe6da1d7c9a3c324527/d9432a1c947b1fe6da1d7c9a3c324527.jpg,"['SUB', 'DUB']"
162,5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,,
163,32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641,,
164,264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,47840,,
165,12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051,,
166,853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271,,
167,5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798,,
168,6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431,https://img.zorores.com/_r/300x400/100/fe/8a/fe8a0297310f4b6d8f2aab3bbf01f005/fe8a0297310f4b6d8f2aab3bbf01f005.jpg,['SUB']
169,5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,8.38,67697,,
